loaded 10000 candidate prompts (skip_lines=0)
  gen 4425 (skip 0) | gen_tok 1967454 | 123.0 tok/s aggregate | 15994.2s
  gen 4450 (skip 0) | gen_tok 1977852 | 123.1 tok/s aggregate | 16069.3s
  gen 4475 (skip 0) | gen_tok 1988569 | 123.1 tok/s aggregate | 16155.9s
  gen 4500 (skip 0) | gen_tok 1999484 | 123.2 tok/s aggregate | 16231.7s
  gen 4525 (skip 0) | gen_tok 2010353 | 123.3 tok/s aggregate | 16310.8s
  gen 4550 (skip 0) | gen_tok 2020490 | 123.3 tok/s aggregate | 16392.9s
  gen 4575 (skip 0) | gen_tok 2031987 | 123.3 tok/s aggregate | 16479.4s
  gen 4600 (skip 0) | gen_tok 2042871 | 123.3 tok/s aggregate | 16566.2s
  gen 4625 (skip 0) | gen_tok 2053732 | 123.3 tok/s aggregate | 16649.9s
  gen 4650 (skip 0) | gen_tok 2064481 | 123.4 tok/s aggregate | 16727.4s
  gen 4675 (skip 0) | gen_tok 2076020 | 123.5 tok/s aggregate | 16814.9s
  gen 4700 (skip 0) | gen_tok 2087426 | 123.6 tok/s aggregate | 16889.2s
  gen 4725 (skip 0) | gen_tok 2097832 | 123.6 tok/s aggregate | 16967.0s
  gen 4750 (skip 0) | gen_tok 2107802 | 123.7 tok/s aggregate | 17043.3s
  gen 4775 (skip 0) | gen_tok 2119113 | 123.7 tok/s aggregate | 17132.8s
  gen 4800 (skip 0) | gen_tok 2128727 | 123.8 tok/s aggregate | 17194.5s
  gen 4825 (skip 0) | gen_tok 2139431 | 123.8 tok/s aggregate | 17280.0s
  gen 4850 (skip 0) | gen_tok 2150575 | 123.8 tok/s aggregate | 17369.7s
  gen 4875 (skip 0) | gen_tok 2161411 | 123.9 tok/s aggregate | 17438.4s
  gen 4900 (skip 0) | gen_tok 2171939 | 124.0 tok/s aggregate | 17519.5s
  gen 4925 (skip 0) | gen_tok 2183127 | 124.0 tok/s aggregate | 17607.6s
  gen 4950 (skip 0) | gen_tok 2193580 | 124.0 tok/s aggregate | 17687.8s
  gen 4975 (skip 0) | gen_tok 2205290 | 124.1 tok/s aggregate | 17772.2s
  gen 5000 (skip 0) | gen_tok 2216144 | 124.1 tok/s aggregate | 17854.6s
  gen 5025 (skip 0) | gen_tok 2228133 | 124.2 tok/s aggregate | 17941.5s
  gen 5050 (skip 0) | gen_tok 2237589 | 124.2 tok/s aggregate | 18017.2s
  gen 5075 (skip 0) | gen_tok 2248753 | 124.3 tok/s aggregate | 18097.4s
  gen 5100 (skip 0) | gen_tok 2261142 | 124.3 tok/s aggregate | 18188.0s
  gen 5125 (skip 0) | gen_tok 2272893 | 124.4 tok/s aggregate | 18276.9s
  gen 5150 (skip 0) | gen_tok 2284396 | 124.4 tok/s aggregate | 18362.8s
  gen 5175 (skip 0) | gen_tok 2295417 | 124.5 tok/s aggregate | 18442.4s
  gen 5200 (skip 0) | gen_tok 2306294 | 124.5 tok/s aggregate | 18518.3s
  gen 5225 (skip 0) | gen_tok 2317956 | 124.6 tok/s aggregate | 18603.5s
  gen 5250 (skip 0) | gen_tok 2328958 | 124.6 tok/s aggregate | 18689.9s
  gen 5275 (skip 0) | gen_tok 2341286 | 124.7 tok/s aggregate | 18779.8s
  gen 5300 (skip 0) | gen_tok 2352104 | 124.7 tok/s aggregate | 18861.4s
  gen 5325 (skip 0) | gen_tok 2363119 | 124.8 tok/s aggregate | 18940.6s
  gen 5350 (skip 0) | gen_tok 2374987 | 124.8 tok/s aggregate | 19030.4s
  gen 5375 (skip 0) | gen_tok 2386648 | 124.8 tok/s aggregate | 19120.1s
  gen 5400 (skip 0) | gen_tok 2398134 | 124.9 tok/s aggregate | 19195.1s
  gen 5425 (skip 0) | gen_tok 2408340 | 124.9 tok/s aggregate | 19276.7s
  gen 5450 (skip 0) | gen_tok 2418757 | 125.0 tok/s aggregate | 19352.3s
  gen 5475 (skip 0) | gen_tok 2429403 | 125.0 tok/s aggregate | 19434.6s
  gen 5500 (skip 0) | gen_tok 2440156 | 125.0 tok/s aggregate | 19523.6s
  gen 5525 (skip 0) | gen_tok 2451128 | 125.0 tok/s aggregate | 19602.3s
  gen 5550 (skip 0) | gen_tok 2462662 | 125.1 tok/s aggregate | 19685.7s
  gen 5575 (skip 0) | gen_tok 2473063 | 125.1 tok/s aggregate | 19766.1s
  gen 5600 (skip 0) | gen_tok 2484207 | 125.1 tok/s aggregate | 19850.5s
  gen 5625 (skip 0) | gen_tok 2494757 | 125.2 tok/s aggregate | 19924.4s
  gen 5650 (skip 0) | gen_tok 2506728 | 125.2 tok/s aggregate | 20016.7s
  gen 5675 (skip 0) | gen_tok 2517735 | 125.3 tok/s aggregate | 20099.3s
  gen 5700 (skip 0) | gen_tok 2529211 | 125.3 tok/s aggregate | 20184.6s
  gen 5725 (skip 0) | gen_tok 2541259 | 125.3 tok/s aggregate | 20274.6s
  gen 5750 (skip 0) | gen_tok 2552898 | 125.4 tok/s aggregate | 20365.7s
  gen 5775 (skip 0) | gen_tok 2564555 | 125.4 tok/s aggregate | 20454.5s
  gen 5800 (skip 0) | gen_tok 2575742 | 125.4 tok/s aggregate | 20541.2s
  gen 5825 (skip 0) | gen_tok 2586000 | 125.5 tok/s aggregate | 20599.8s
  gen 5850 (skip 0) | gen_tok 2596658 | 125.6 tok/s aggregate | 20679.6s
  gen 5875 (skip 0) | gen_tok 2607086 | 125.6 tok/s aggregate | 20764.1s
  gen 5900 (skip 0) | gen_tok 2616606 | 125.6 tok/s aggregate | 20834.4s
  gen 5925 (skip 0) | gen_tok 2628382 | 125.6 tok/s aggregate | 20920.7s
  gen 5950 (skip 0) | gen_tok 2639548 | 125.6 tok/s aggregate | 21007.9s
  gen 5975 (skip 0) | gen_tok 2650755 | 125.7 tok/s aggregate | 21090.0s
  gen 6000 (skip 0) | gen_tok 2662594 | 125.7 tok/s aggregate | 21175.1s
  gen 6025 (skip 0) | gen_tok 2673423 | 125.8 tok/s aggregate | 21253.4s
  gen 6050 (skip 0) | gen_tok 2683618 | 125.7 tok/s aggregate | 21343.8s
  gen 6075 (skip 0) | gen_tok 2694880 | 125.8 tok/s aggregate | 21422.7s
  gen 6100 (skip 0) | gen_tok 2705686 | 125.8 tok/s aggregate | 21500.2s
  gen 6125 (skip 0) | gen_tok 2717259 | 125.9 tok/s aggregate | 21590.2s
  gen 6150 (skip 0) | gen_tok 2728096 | 125.9 tok/s aggregate | 21669.5s
  gen 6175 (skip 0) | gen_tok 2738525 | 126.0 tok/s aggregate | 21742.2s
  gen 6200 (skip 0) | gen_tok 2750157 | 126.0 tok/s aggregate | 21832.8s
  gen 6225 (skip 0) | gen_tok 2760701 | 126.0 tok/s aggregate | 21910.1s
  gen 6250 (skip 0) | gen_tok 2771999 | 126.0 tok/s aggregate | 21999.6s
  gen 6275 (skip 0) | gen_tok 2783401 | 126.1 tok/s aggregate | 22081.5s
  gen 6300 (skip 0) | gen_tok 2794038 | 126.1 tok/s aggregate | 22162.2s
  gen 6325 (skip 0) | gen_tok 2805128 | 126.1 tok/s aggregate | 22246.8s
  gen 6350 (skip 0) | gen_tok 2815684 | 126.1 tok/s aggregate | 22323.5s
  gen 6375 (skip 0) | gen_tok 2825074 | 126.1 tok/s aggregate | 22400.0s
  gen 6400 (skip 0) | gen_tok 2836711 | 126.1 tok/s aggregate | 22487.3s
  gen 6425 (skip 0) | gen_tok 2847413 | 126.2 tok/s aggregate | 22557.9s
  gen 6450 (skip 0) | gen_tok 2858893 | 126.3 tok/s aggregate | 22644.0s
  gen 6475 (skip 0) | gen_tok 2870882 | 126.3 tok/s aggregate | 22735.1s
  gen 6500 (skip 0) | gen_tok 2882031 | 126.3 tok/s aggregate | 22817.1s
  gen 6525 (skip 0) | gen_tok 2893506 | 126.3 tok/s aggregate | 22905.2s
  gen 6550 (skip 0) | gen_tok 2905284 | 126.4 tok/s aggregate | 22984.6s
  gen 6575 (skip 0) | gen_tok 2917337 | 126.4 tok/s aggregate | 23075.6s
  gen 6600 (skip 0) | gen_tok 2928861 | 126.4 tok/s aggregate | 23165.0s
  gen 6625 (skip 0) | gen_tok 2939699 | 126.4 tok/s aggregate | 23254.1s
  gen 6650 (skip 0) | gen_tok 2950726 | 126.5 tok/s aggregate | 23334.5s
  gen 6675 (skip 0) | gen_tok 2961877 | 126.5 tok/s aggregate | 23419.5s
  gen 6700 (skip 0) | gen_tok 2972459 | 126.5 tok/s aggregate | 23496.7s
  gen 6725 (skip 0) | gen_tok 2983996 | 126.5 tok/s aggregate | 23586.6s
  gen 6750 (skip 0) | gen_tok 2995189 | 126.5 tok/s aggregate | 23669.1s
  gen 6775 (skip 0) | gen_tok 3006081 | 126.6 tok/s aggregate | 23748.2s
  gen 6800 (skip 0) | gen_tok 3017280 | 126.6 tok/s aggregate | 23831.8s
  gen 6825 (skip 0) | gen_tok 3028780 | 126.6 tok/s aggregate | 23915.0s
  gen 6850 (skip 0) | gen_tok 3040454 | 126.7 tok/s aggregate | 24006.5s
  gen 6875 (skip 0) | gen_tok 3051339 | 126.7 tok/s aggregate | 24078.2s
  gen 6900 (skip 0) | gen_tok 3062839 | 126.7 tok/s aggregate | 24168.3s
